step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
9,2039,22034,19995,0,0,0,0,1,0,0
8,892250,62631,0,74,1017900,0,0,0,1,0
136,16885,1089687,1106572,216143,199259,0,0,0,0,0
178,216968,2586335,2803303,2240780,2023811,0,0,0,0,0
306,68307,99038,30731,0,68307,1,0,0,0,0
335,188686,32048,0,782048,970734,1,0,0,0,0
264,11401,4890,0,0,0,0,0,1,0,0
403,2683,68499,71182,0,0,0,0,0,0,0
202,488336,124071,0,11067,499403,1,0,0,0,0
626,55740,55740,0,1659141,1714882,1,0,0,0,1
396,19455,49843,30388,0,0,0,0,1,0,0
276,4572,0,0,0,0,0,0,1,0,0
136,153476,0,0,1449058,1602534,1,0,0,0,0
688,3394,11056,14450,1199437,1196043,0,0,0,0,0
235,80787,7123,0,0,80787,1,0,0,0,0
302,63582,3557081,3620664,857026,793443,0,0,0,0,0
278,245817,122,245939,23777,0,0,0,0,0,0
401,25735,16108,0,0,0,0,0,1,0,0
298,8060,378980,370920,0,0,0,0,1,0,0
140,3262,157884,154622,0,0,0,0,1,0,0
304,253248,19139493,19392741,469592,216344,0,0,0,0,0
355,883367,883367,0,2029537,2912904,1,0,0,0,1
136,481104,75588,556692,343546,0,0,0,0,0,0
177,4533,0,0,0,0,0,0,1,0,0
180,20297,258592,238295,0,0,0,0,1,0,0
260,11466,34179,22713,0,0,0,0,1,0,0
178,85018,85018,0,0,85018,1,0,0,0,1
326,383182,64960,448142,587253,204070,0,0,0,0,0
401,109,78406,78297,0,0,0,0,1,0,0
138,24065,0,0,1747925,1771990,0,0,0,1,0
520,2734160,0,0,4608001,7342161,0,0,0,1,0
333,105280,0,0,344996,450276,1,0,0,0,0
211,106786,79833,0,4280986,4387772,1,0,0,0,0
402,25340,0,0,0,0,0,0,1,0,0
228,96111,21316,0,0,96111,0,0,0,1,0
328,1249632,21165,0,538291,1787924,0,0,0,1,0
308,4860,2626,0,0,0,0,0,1,0,0
329,439668,29267,0,0,439668,1,0,0,0,0
185,54036,1341073,1395108,60633,6597,0,0,0,0,0
240,103950,103950,0,0,0,0,0,0,1,1
163,163655,11621,0,1028398,1192052,1,0,0,0,0
399,18189,57509,39320,64033,82222,1,0,0,0,0
350,244082,0,0,2100606,2344688,1,0,0,0,0
40,8483,263835,255352,0,0,0,0,1,0,0
187,12119,11598,0,0,0,0,0,1,0,0
205,288781,366081,77300,57217,345997,1,0,0,0,0
41,328955,0,0,3508995,3837950,1,0,0,0,0
405,1004333,0,0,1937432,2941765,0,0,0,1,0
564,320977,320977,0,0,320977,1,0,0,0,1
585,99511,0,0,1079951,1179462,1,0,0,0,0
