country,continent,collected,longitude,latitude,infant_mortality,life_expectancy,fertility,population,gdp
Albania,Europe,30/06/1980,20,41,64,71.39,3.68,2681245,2833406779
Albania,Europe,30/06/1981,20,41,59.9,71.63,3.56,2735329,2996203998
Albania,Europe,30/06/1982,20,41,56.1,71.88,3.46,2788315,3084549973
Albania,Europe,30/06/1983,20,41,52.4,72.15,3.37,2842620,3118632347
Albania,Europe,30/06/1984,20,41,49.1,72.42,3.3,2901590,3079599649
Albania,Europe,30/06/1985,20,41,45.9,72.71,3.23,2966799,3134436354
Albania,Europe,30/06/1986,20,41,43.2,72.96,3.18,3041003,3311132154
Albania,Europe,30/06/1987,20,41,40.8,73.14,3.13,3121336,3285045643
Albania,Europe,30/06/1988,20,41,38.6,73.25,3.08,3197064,3238396691
Albania,Europe,30/06/1989,20,41,36.7,73.3,3.02,3253659,3556943168
Albania,Europe,30/06/1990,20,41,35.1,73.3,2.97,3281453,3216343088
Albania,Europe,30/06/1991,20,41,33.7,73.4,2.92,3275438,2264659407
Albania,Europe,30/06/1992,20,41,32.5,73.6,2.87,3240613,2101603929
Albania,Europe,30/06/1993,20,41,31.4,73.6,2.82,3189623,2303357907
Albania,Europe,30/06/1994,20,41,30.3,73.6,2.77,3140634,2494536613
Albania,Europe,30/06/1995,20,41,29.1,73.7,2.72,3106727,2826309982
Albania,Europe,30/06/1996,20,41,27.9,73.8,2.67,3092034,3083504202
Albania,Europe,30/06/1997,20,41,26.8,74.1,2.61,3092471,2768986763
Albania,Europe,30/06/1998,20,41,25.5,74.2,2.54,3102898,3120648082
Albania,Europe,30/06/1999,20,41,24.4,74.2,2.47,3114851,3435833539
Albania,Europe,30/06/2000,20,41,23.2,74.7,2.38,3121965,3686649387
Albania,Europe,30/06/2001,20,41,22.1,75.1,2.29,3124093,3944714844
Albania,Europe,30/06/2002,20,41,21,75.5,2.2,3123112,4059111575
Albania,Europe,30/06/2003,20,41,20,75.7,2.1,3117045,4290480934
Albania,Europe,30/06/2004,20,41,19.1,75.9,2,3103758,4543619309
Albania,Europe,30/06/2005,20,41,18.3,76.2,1.92,3082172,4793518372
Albania,Europe,30/06/2006,20,41,17.4,76.4,1.85,3050741,5033194290
Albania,Europe,30/06/2007,20,41,16.7,76.6,1.8,3010849,5330152753
Albania,Europe,30/06/2008,20,41,16,76.8,1.76,2968026,5740574515
Albania,Europe,30/06/2009,20,41,15.4,77,1.74,2929886,5930013474
Albania,Europe,30/06/2010,20,41,14.8,77.2,1.74,2901883,6137563946
Albania,Europe,30/06/2011,20,41,14.3,77.4,1.75,2886010,6321690864
Algeria,Africa,30/06/1960,3,28,148.2,47.5,7.65,11124892,13828152297
Algeria,Africa,30/06/1961,3,28,148.1,48.02,7.65,11404859,11946771141
Algeria,Africa,30/06/1962,3,28,148.2,48.55,7.65,11690152,9595044251
Algeria,Africa,30/06/1963,3,28,148.4,49.07,7.65,11985130,12887461719
Algeria,Africa,30/06/1964,3,28,148.7,49.58,7.65,12295973,13640013825
Algeria,Africa,30/06/1965,3,28,149.1,50.09,7.66,12626953,14486635612
Algeria,Africa,30/06/1966,3,28,149.3,50.58,7.66,12980269,13790556982
Algeria,Africa,30/06/1967,3,28,149.2,51.05,7.66,13354197,15094173154
Algeria,Africa,30/06/1968,3,28,148.7,51.49,7.66,13744383,16723776097
Algeria,Africa,30/06/1969,3,28,147.7,51.95,7.65,14144437,18134139015
Algeria,Africa,30/06/1970,3,28,146,52.41,7.64,14550033,19741305571
Algeria,Africa,30/06/1971,3,28,143.6,52.88,7.62,14960111,17504276281
Algeria,Africa,30/06/1972,3,28,140.6,53.38,7.59,15377095,22304643652
Algeria,Africa,30/06/1973,3,28,137,53.91,7.55,15804428,23155159027
Algeria,Africa,30/06/1974,3,28,133,54.52,7.49,16247113,24890619160
Algeria,Africa,30/06/1975,3,28,128.7,55.24,7.42,16709098,26146435917
Algeria,Africa,30/06/1976,3,28,124,56.11,7.34,17190236,28339273834
Algeria,Africa,30/06/1977,3,28,119,57.13,7.24,17690184,29829518900
Algeria,Africa,30/06/1978,3,28,113.6,58.28,7.14,18212331,32578260067
Algeria,Africa,30/06/1979,3,28,107.8,59.56,7.02,18760761,35014405842
Algeria,Africa,30/06/1980,3,28,101.1,60.92,6.89,19337723,35291232178
Algeria,Africa,30/06/1981,3,28,93.4,62.31,6.74,19943667,36349967756
Algeria,Africa,30/06/1982,3,28,84.6,63.69,6.58,20575701,38676367201
Algeria,Africa,30/06/1983,3,28,75,64.97,6.39,21228288,40764892197
Algeria,Africa,30/06/1984,3,28,65.5,66.15,6.19,21893857,43047724737
Algeria,Africa,30/06/1985,3,28,57.2,67.18,5.98,22565908,44640489378
Algeria,Africa,30/06/1986,3,28,50.9,68.04,5.75,23241276,44819051777
Algeria,Africa,30/06/1987,3,28,46.3,68.75,5.51,23917889,44505319532
Algeria,Africa,30/06/1988,3,28,43.1,69.33,5.26,24591493,44060263881
Algeria,Africa,30/06/1989,3,28,41,69.81,5.01,25257671,45998916445
Algeria,Africa,30/06/1990,3,28,39.7,70.2,4.76,25912364,46366908062
Algeria,Africa,30/06/1991,3,28,38.8,70.5,4.5,26554277,45810504880
Algeria,Africa,30/06/1992,3,28,38.1,70.9,4.24,27180921,46635095028
Algeria,Africa,30/06/1993,3,28,37.5,71.2,3.97,27785977,45655757681
Algeria,Africa,30/06/1994,3,28,36.9,71.4,3.71,28362015,45244857431
Algeria,Africa,30/06/1995,3,28,36.3,71.6,3.45,28904300,46964159665
Algeria,Africa,30/06/1996,3,28,35.7,72.1,3.21,29411839,48889689496
Algeria,Africa,30/06/1997,3,28,35.1,72.4,2.99,29887717,49427476044
Algeria,Africa,30/06/1998,3,28,34.7,72.6,2.79,30336880,51948279105
Algeria,Africa,30/06/1999,3,28,34.4,73,2.63,30766551,53610624834
Algeria,Africa,30/06/2000,3,28,33.9,73.3,2.51,31183658,54790058957
Algeria,Africa,30/06/2001,3,28,33.3,73.5,2.44,31590320,56214597843
Algeria,Africa,30/06/2002,3,28,32.4,73.8,2.41,31990387,58856686557
Algeria,Africa,30/06/2003,3,28,31.3,73.9,2.41,32394886,62917798908
Algeria,Africa,30/06/2004,3,28,30.1,74.4,2.45,32817225,66189522629
Algeria,Africa,30/06/2005,3,28,28.8,74.8,2.51,33267887,69565187811
Algeria,Africa,30/06/2006,3,28,27.6,75,2.58,33749328,70956491567
Algeria,Africa,30/06/2007,3,28,26.4,75.3,2.66,34261971,73085186314
Algeria,Africa,30/06/2008,3,28,25.3,75.5,2.73,34811059,74839230786
Algeria,Africa,30/06/2009,3,28,24.3,75.7,2.78,35401790,76635372324
Algeria,Africa,30/06/2010,3,28,23.5,76,2.82,36036159,79164339611
Algeria,Africa,30/06/2011,3,28,22.8,76.1,2.83,36717132,81143448101
Angola,Africa,30/06/1985,18.5,-12.5,134.9,47.5,7.21,9745209,7218737860
Angola,Africa,30/06/1986,18.5,-12.5,134.4,47.75,7.21,10023700,7420862520
Angola,Africa,30/06/1987,18.5,-12.5,134.1,47.99,7.2,10285712,8007110659
